daniele,7,29,4,2018
mayk,4,9,12,2019
daniele,5,27,12,2016
mayk,1,2,12,2017
giuliano,3,13,2,2017
cleiton,1,22,6,2020
giuliano,6,18,2,2019
jakeliny,8,18,7,2017
joseph,3,17,3,2017
jakeliny,6,23,3,2019
cleiton,3,20,6,2016
daniele,5,1,5,2016
giuliano,1,2,4,2020
daniele,3,5,5,2017
daniele,1,26,6,2020
diego,3,11,9,2016
mayk,7,28,7,2017
mayk,7,3,9,2016
danilo,6,28,2,2019
diego,4,15,8,2017
cleiton,8,3,10,2020
giuliano,4,24,5,2020
rafael,7,1,7,2017
danilo,1,7,4,2018
diego,1,10,12,2019
joseph,5,3,11,2020
diego,4,2,4,2017
joseph,3,10,9,2019
jakeliny,8,15,3,2016
joseph,2,27,12,2020
rafael,7,9,8,2017
diego,1,6,5,2018
mayk,3,14,6,2019
joseph,4,16,4,2020
cleiton,7,2,7,2018
mayk,4,27,4,2020
mayk,3,18,3,2020
jakeliny,2,5,10,2020
mayk,4,9,11,2016
jakeliny,1,29,12,2019
diego,6,30,3,2018
jakeliny,8,24,12,2016
jakeliny,5,3,10,2019
daniele,4,20,6,2020
jakeliny,1,3,10,2017
rafael,4,30,1,2017
rafael,4,3,8,2020
cleiton,5,9,4,2017
vinicius,8,29,7,2020
cleiton,6,24,12,2018
cleiton,8,1,3,2020
cleiton,7,6,6,2020
mayk,4,30,12,2020
jakeliny,7,29,8,2020
danilo,3,6,6,2016
diego,4,5,7,2020
giuliano,1,3,11,2018
diego,1,17,8,2016
mayk,1,19,9,2020
cleiton,2,15,6,2017
jakeliny,4,2,6,2020
diego,4,21,4,2020
rafael,5,29,1,2016
joseph,1,29,9,2020
danilo,4,15,3,2016
diego,7,11,7,2020
vinicius,3,24,3,2020
danilo,1,12,2,2020
jakeliny,6,18,7,2018
mayk,6,30,3,2019
danilo,7,3,11,2017
rafael,6,3,7,2016
diego,2,11,2,2017
cleiton,4,24,5,2020
vinicius,5,20,10,2020
giuliano,2,5,12,2018
diego,6,17,6,2017
daniele,5,13,1,2016
diego,8,1,3,2017
giuliano,6,13,4,2018
joseph,5,29,12,2020
danilo,8,25,10,2019
joseph,4,10,12,2020
jakeliny,1,30,5,2019
joseph,5,7,8,2020
giuliano,5,11,9,2017
joseph,3,29,5,2018
vinicius,6,15,6,2017
giuliano,7,4,11,2016
joseph,1,4,12,2017
joseph,4,13,7,2019
daniele,1,13,2,2018
cleiton,1,20,2,2016
mayk,6,11,3,2020
rafael,2,1,4,2019
joseph,8,19,12,2020
cleiton,6,15,10,2019
vinicius,8,27,8,2016
daniele,4,1,10,2018
giuliano,3,15,8,2020
danilo,1,6,12,2018
mayk,8,22,1,2018
cleiton,8,26,7,2020
rafael,1,10,1,2020
daniele,8,29,4,2017
vinicius,6,30,10,2019
vinicius,8,14,11,2017
diego,1,15,9,2018
rafael,5,27,1,2019
jakeliny,8,20,10,2016
mayk,6,3,12,2019
daniele,1,9,4,2016
rafael,5,10,5,2020
vinicius,2,8,1,2019
